code,favela_name,favela_address,upp,controlling_faction_2019,type,controlling_faction_2013,detail_controlling_faction_2013,controlling_faction_2009,controlling_faction_2008,controlling_faction_2007,controlling_faction_2006,controlling_faction_2005,social_progress_index
925,VILA RIO GRANDE,ESTR RIO GRANDE- JACAREPAGUA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,NEUTRAL,0.526
926,PARTE DA COMUNIDADE VILA ARCO IRIS,ESTR DO GUERENGUÊ - JACAREPAGUÁ - COMPLEXO COLÔNIA JULIANO MOREIRA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,0.442
927,COMENDADOR LISBOA,RUA COMENDADOR LISBOA - MADUREIRA - COMPLEXO DA GROTA,2,CV,DT,CV,UNARMED,CV,CV,CV,CV,CV,0.525
928,"RUA BONINA, N 381",RUA BONINA 381 - MAGALHÃES BASTOS - COMPLEXO QUATORZE DE JULHO,2,ADA,N,ADA,ARMED,ADA,ADA,ADA,ADA,ADA,
929,"RUA BONINA, N 511",RUA BONINA 511 - MAGALHÃES BASTOS - COMPLEXO QUATORZE DE JULHO,2,ADA,N,ADA,ARMED,ADA,ADA,ADA,ADA,ADA,
930,VITORIA DE MANGUINHOS,AV DOS DEMOCRATICOS 546 - MANGUINHOS - COMPLEXO DE MANGUINHOS,1,CV,,CV,ARMED,CV,CV,CV,CV,CV,0.536
931,MARE (RUA GUILHERME FROTA),RUA GUILHERME FROTA - MARÉ,2,CV,,CV,ARMED,CV,CV,CV,CV,CV,
932,RUA MIRA,RUA MIRA - OLARIA,2,CV,,CV,ARMED,CV,CV,CV,CV,CV,
933,CONDOMINIO MANDELA,RUA DONA VICENÇA - OSVALDO CRUZ,2,MILICIA,,MILICIA,ARMED,CV,CV,CV,CV,CV,0.588
934,BECO ENEDINA,BECO HENEDINA - OSVALDO CRUZ,2,MILICIA,,MILICIA,UNARMED,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,0.56
935,RUA SAO LOURENCO,RUA SAO LOURENCO - OSVALDO CRUZ,2,MILICIA,,MILICIA,ARMED,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,
936,"RUA PEREIRA DE FIGUEIREDO, N630","RUA PEREIRA DE FIGUEIREDO, N630 - OSVALDO CRUZ",2,MILICIA,,MILICIA,UNARMED,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,0.563
937,1 DE ABRIL-GOUVEIA,ETR DOS VIEIRAS - COMPLEXO NOVA JERSEI,2,MILICIA,,MILICIA,UNARMED,MILICIA,MILICIA,MILICIA,TCP,TCP,0.344
938,RUA PISTOIA,RUA PISTOIA - PACIENCIA - COMPLEXO PANTANAL,2,CV,,CV,ARMED,CV,CV,CV,CV,CV,
939,SAPE,ESTR DOS PALMARES - PACIÊNCIA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,
940,RUA FRANCISCO REAL,RUA FRANCISCO REAL - PADRE MIGUEL,2,MILICIA,,MILICIA,ARMED,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,
941,ESTRADA DO MURUNDU,ESTR DO MURUNDU - PADRE MIGUEL,2,CV,,CV,UNARMED,CV,CV,CV,CV,CV,0.542
942,RUA RIBATEJO (EM FRENTE AO N 245),RUA RIBATEJO (EM FRENTE AO N 245) - IRAJÁ,2,MILICIA,,MILICIA,UNARMED,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,0.593
943,VILA MODELO-RUA ALFREDO CABUCU,RUA ALFREDO CABUÇU - PAVUNA - COMPLEXO QUITANDA,2,ADA,DT,ADA,ARMED,ADA,ADA,ADA,ADA,ADA,
944,NOVA CONQUISTA (RA-PAVUNA),ESTR RIO DO PAU 2070 - PAVUNA - COMPLEXO CHICO MENDES MORRO DO CHAPADÃO,2,CV,,CV,ARMED,CV,CV,CV,CV,CV,0.478
945,CABO OTAVIO,RUA CABO OTAVIO DA SILVA - PAVUNA - COMPLEXO CHICO MENDES - CHAPADÃO,2,CV,DT,CV,ARMED,CV,CV,CV,CV,CV,
946,MONTE SINAI,AV PROF BERNARDINO ROCHA 902 - PAVUNA - COMPLEXO CHICO MENDES - MORRO DO CHAPADÃO,2,CV,,CV,ARMED,ADA,ADA,ADA,ADA,ADA,0.527
947,MORADA DO SOL,AV GEREMÁRIO DANTAS - PECHINCHA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.567
